title,name,commit,newurl
【黄金双倍】：二台曼瑶上线~,呆妹儿小霸王,403.2万,https://www.douyu.com/92000
赢，9999！,yyfyyf,390万,https://www.douyu.com/9999
Gemini：玩游戏叫是要啸！,MrGemini,323.9万,https://www.douyu.com/36252
长沙小甜甜 球球办卡,UU超级大,251.2万,https://www.douyu.com/7506370
【丽江】和李娜的一天~,TD丶正直博,240.7万,https://www.douyu.com/533813
百天快乐 10525828,二月吖o,8.3万,https://www.douyu.com/10525828
4.26海阔天空歌友会哦.9418,Big茄子,281.3万,https://www.douyu.com/9418
天雅（马路侠）直播一周年,俄罗斯教父,87.4万,https://www.douyu.com/848337
欢迎来到暴躁哥哥的家~,小象一晓看天色,188.8万,https://www.douyu.com/10521
（双倍）世界上最美好的事情就是当我遇见你,半杯桃桃乌龙,167万,https://www.douyu.com/5666
【纽约号☞钻石亲密度】,imxiaoxin,279.4万,https://www.douyu.com/709710
一个腻害的全能辅助麻麻~,芍药Girl,278.3万,https://www.douyu.com/9338881
【冰】厚乳拿铁，不另外加糖,李知恩nn,267.3万,https://www.douyu.com/4921614
行走的CD机~7515923,崔了了丶,20.5万,https://www.douyu.com/7515923
清纯女大学生 4260617,阿梨small,154万,https://www.douyu.com/11188
19点CFPLS19总决赛，都加油~,白鲨AyoM,253.3万,https://www.douyu.com/728
淑怡：又又又又在家,不2不叫周淑怡,237.4万,https://www.douyu.com/22222
巅峰继续冲，7点解说,北笙,231.1万,https://www.douyu.com/77667
期待一个你.,以南Nanny,21.9万,https://www.douyu.com/10701976
【越南】周末两天别墅泳池趴大家别错过,越南皇上,149.2万,https://www.douyu.com/1973465
每天下午三点准时开播！！,芜湖大司马丶,217.1万,https://www.douyu.com/606118
【直播】亚洲杯 EDG 0:0 RK,穿越火线运营团队,214.6万,https://www.douyu.com/605964
【猛男】单人4排最激情单口相声细节教学,邦Sa,212.4万,https://www.douyu.com/5720533
粤语情歌~欢迎点歌,xun寻寻,140万,https://www.douyu.com/7675199
【3倍亲密度】今晚与你相遇,爱约一只如初见,129.6万,https://www.douyu.com/10888
新赛季的爷！先上个2100！！,少年不太冷2,211.7万,https://www.douyu.com/3125893
今天能上2100吗？77077,主播风导,207.9万,https://www.douyu.com/77077
【直播】TOC3全国总决赛,lol云顶之弈赛事,207.8万,https://www.douyu.com/522423
桂花塘打工记,追梦的韭菜,121万,https://www.douyu.com/9479874
S联赛春季赛 AG 1:0 KZ,QQ飞车手游官方直播间,203万,https://www.douyu.com/5040227
巅峰冲第一 10018165,小楠ouo,202.8万,https://www.douyu.com/10018165
【重播】2022CFEL S1 巴西,穿越火线赛事专用,201.4万,https://www.douyu.com/522798
钻石卡 新的一天冲冲冲,JT丶浩克大魔王,106.8万,https://www.douyu.com/4489985
清晨第一缕阳光,在逃公主阮阮,106.1万,https://www.douyu.com/8765349
二台：观看3分钟，3天上王者,灵药LoveLing,192.4万,https://www.douyu.com/9408500
绝地求生高端局,蓝战非OvO,190.5万,https://www.douyu.com/70002
来这里开心就好！ 钻粉2.5倍亲密度,叫我老陈就好了,183.3万,https://www.douyu.com/74960
本厅由只为依米笑哥独家冠名,嗨玩一广岛之恋,98万,https://www.douyu.com/1116
双倍亲密/进来坐坐喝杯茶吧～,考拉一人间酒馆,94.6万,https://www.douyu.com/52100
【双倍亲密度】调设备,艺帝帝,181.2万,https://www.douyu.com/16166
云顶冲2000分！,拼一枪兄弟,179.2万,https://www.douyu.com/79638
有车位瞬杀流孙尚香秒杀一切！,A老回,179万,https://www.douyu.com/5395900
万物之外 你是我的重重惊喜,小苏打Da,91.2万,https://www.douyu.com/6036539
时隔两年，又回江城,赛文柒Seven,90.6万,https://www.douyu.com/105025
⭐阿超：第三个王者继续带粉丝,阿超cc丶,177.9万,https://www.douyu.com/823042
【战神质检员】车队出击,泼痞yyds,176.9万,https://www.douyu.com/66699
国服阿珂五排带水友！,小艾神OvO,176.8万,https://www.douyu.com/10649012
武汉小可爱！~,喵小莎,89.8万,https://www.douyu.com/23233
双倍亲密，安徽主播了解一下,大晶要变瘦,89.3万,https://www.douyu.com/4933024
